time,channel,current,voltage,power,sunlight,performance
2025-01-09 03:30:00,20,0.0,0.0,0.0,6.74,0
2025-01-09 03:30:00,28,0.0,0.0,0.0,6.74,0
2025-01-09 03:30:00,1,0.0,0.0,0.0,6.74,0
2025-01-09 03:30:00,26,0.0,0.0,0.0,6.74,0
2025-01-09 03:30:00,21,0.0,0.0,0.0,6.74,0
2025-01-09 03:30:00,24,0.0,0.0,0.0,6.74,0
2025-01-09 03:30:00,9,0.0,0.0,0.0,6.74,0
2025-01-09 03:30:00,15,0.0,0.0,0.0,6.74,0
2025-01-09 03:30:00,11,0.0,0.0,0.0,6.74,0
2025-01-09 03:30:00,13,0.0,0.0,0.0,6.74,0
2025-01-09 03:30:00,10,0.0,0.0,0.0,6.74,0
2025-01-09 03:30:00,2,0.0,0.0,0.0,6.74,0
2025-01-09 03:30:00,16,0.0,0.0,0.0,6.74,0
2025-01-09 03:45:00,5,0.0,0.0,0.0,6.74,0
